station_eng,station_canto,line,lat,long,location_map_url,station_map_url
Sunny Bay,欣澳,Disneyland Resort,22.331731,114.0289607,https://www.mtr.com.hk/archive/ch/services/maps/sun.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/sun.pdf
Disneyland Resort,迪士尼,Disneyland Resort,22.3153543,114.0451876,https://www.mtr.com.hk/archive/ch/services/maps/dis.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/dis.pdf
Admiralty,金鐘,East Rail,22.279412,114.164559,https://www.mtr.com.hk/archive/ch/services/maps/adm.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/adm.pdf
Exhibition Centre,會展,East Rail,22.2821415,114.175501,https://www.mtr.com.hk/archive/ch/services/maps/exc.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/exc.pdf
Hung Hom,紅磡,East Rail,22.3027389,114.1821136,https://www.mtr.com.hk/archive/ch/services/maps/huh.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/huh.pdf
Mong Kok East,旺角東,East Rail,22.3220713,114.1725926,https://www.mtr.com.hk/archive/ch/services/maps/mkk.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/mkk.pdf
Kowloon Tong,九龍塘,East Rail,22.3371583,114.1760929,https://www.mtr.com.hk/archive/ch/services/maps/kot.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/kot.pdf
Tai Wai,大圍,East Rail,22.373284,114.178152,https://www.mtr.com.hk/archive/ch/services/maps/taw.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/taw.pdf
Sha Tin,沙田,East Rail,22.382049,114.186856,https://www.mtr.com.hk/archive/ch/services/maps/sht.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/sht.pdf
Fo Tan,火炭,East Rail,22.3959,114.198917,https://www.mtr.com.hk/archive/ch/services/maps/fot.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/fot.pdf
Racecourse,馬場,East Rail,22.401083,114.2033947,https://www.mtr.com.hk/archive/ch/services/maps/rac.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/rac.pdf
University,大學,East Rail,22.4134548,114.2102967,https://www.mtr.com.hk/archive/ch/services/maps/uni.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/uni.pdf
Tai Po Market,大埔墟,East Rail,22.4442045,114.1711574,https://www.mtr.com.hk/archive/ch/services/maps/tap.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/tap.pdf
Tai Wo,太和,East Rail,22.450572,114.16094,https://www.mtr.com.hk/archive/ch/services/maps/two.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/two.pdf
Fanling,粉嶺,East Rail,22.4920033,114.1388264,https://www.mtr.com.hk/archive/ch/services/maps/fan.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/fan.pdf
Sheung Shui,上水,East Rail,22.500874,114.128758,https://www.mtr.com.hk/archive/ch/services/maps/shs.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/shs.pdf
Lo Wu,羅湖,East Rail,22.5276195,114.1149511,https://www.mtr.com.hk/archive/ch/services/maps/low.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/low.pdf
Lok Ma Chau,落馬洲,East Rail,22.5098835,114.0815055,https://www.mtr.com.hk/archive/ch/services/maps/lmc.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/lmc.pdf
Tuen Mun,屯門,Tuen Ma,22.394902,113.973274,https://www.mtr.com.hk/archive/ch/services/maps/tum.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/tum.pdf
Siu Hong,兆康,Tuen Ma,22.409959,113.978413,https://www.mtr.com.hk/archive/ch/services/maps/sih.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/sih.pdf
Tin Shui Wai,天水圍,Tuen Ma,22.4606419,114.0041996,https://www.mtr.com.hk/archive/ch/services/maps/tis.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/tis.pdf
Long Ping,朗屏,Tuen Ma,22.44759,114.025635,https://www.mtr.com.hk/archive/ch/services/maps/lop.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/lop.pdf
Yuen Long,元朗,Tuen Ma,22.446272,114.034924,https://www.mtr.com.hk/archive/ch/services/maps/yul.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/yul.pdf
Kam Sheung Road,錦上路,Tuen Ma,22.4341977,114.0633652,https://www.mtr.com.hk/archive/ch/services/maps/ksr.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/ksr.pdf
Tsuen Wan West,荃灣西,Tuen Ma,22.3680639,114.1108726,https://www.mtr.com.hk/archive/ch/services/maps/tww.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/tww.pdf
Mei Foo,美孚,Tuen Ma,22.3375848,114.1379836,https://www.mtr.com.hk/archive/ch/services/maps/mef.pdf,https://www.mtr.com.hk/archive/ch/services/layouts/mef.pdf
